,Model,Depth,Width,Height,Cluster,Max_Depth,Max_Width,Max_Height,Volume_Difference_Percentage,Average_Volume_Diff_Percentage
0,Sigma 150,70,150,113.0,0,70,150,155.0,27.1,29.11
1,RISH Xmer 105/50SC(50),64,108,125.0,0,70,150,155.0,46.91,29.11
2,RISH Xmer 140/100V(45),65,140,155.0,0,70,150,155.0,13.33,29.11
3,,,,,,,,,,
4,RISH Xmer 86/40(45),45,86,110.0,1,45,104,126.0,27.81,19.47
5,RISH Xmer 86/60\(45),45,86,110.0,1,45,104,126.0,27.81,19.47
6,RISH Xmer 104/60(45),45,104,126.0,1,45,104,126.0,0.0,19.47
7,RISH Xmer 104/80(45),45,104,126.0,1,45,104,126.0,0.0,19.47
8,RISH Xmer 86/40P(45),45,86,110.0,1,45,104,126.0,27.81,19.47
9,RISH Xmer 86/50P(45),45,86,110.0,1,45,104,126.0,27.81,19.47
10,RISH Xmer 104/30P(45),45,104,126.0,1,45,104,126.0,0.0,19.47
11,RISH Xmer 86/50(45),45,86,110.0,1,45,104,126.0,27.81,19.47
12,RISH Xmer 104/60P(45),45,86,110.0,1,45,104,126.0,27.81,19.47
13,RISH Xmer 104/50P(45),45,86,110.0,1,45,104,126.0,27.81,19.47
14,,,,,,,,,,
15,LTRC-8 295/200(40),40,295,320.0,2,40,295,320.0,0.0,0.0
16,LTRC-8 295/200(40),40,295,320.0,2,40,295,320.0,0.0,0.0
17,,,,,,,,,,
18,RISH Xmer 140/60P(45),45,140,155.0,3,45,140,159.0,2.52,5.88
19,RISH Xmer 140/80P(45),45,140,155.0,3,45,140,159.0,2.52,5.88
20,RISH Xmer 140/100P(45),45,140,155.0,3,45,140,159.0,2.52,5.88
21,LTRC-4 135/85(40),40,135,159.0,3,45,140,159.0,14.29,5.88
22,RISH Xmer 140/100H(45),45,140,155.0,3,45,140,159.0,2.52,5.88
23,RISH Xmer 140/80(45),45,140,155.0,3,45,140,159.0,2.52,5.88
24,LTRC-4 135/85(40),40,135,159.0,3,45,140,159.0,14.29,5.88
25,,,,,,,,,,
26,RISH Xmer 225/60P(50),70,225,206.0,4,70,225,206.0,0.0,0.0
27,RISH Xmer 225/167P(50),70,225,206.0,4,70,225,206.0,0.0,0.0
28,RISH Xmer 225/125P(50),70,225,206.0,4,70,225,206.0,0.0,0.0
29,RISH Xmer 225/167(50),70,225,206.0,4,70,225,206.0,0.0,0.0
30,RISH Xmer 225/125(50),70,225,206.0,4,70,225,206.0,0.0,0.0
31,,,,,,,,,,
32,RISH Xmer 45/14(40),40,45,65.0,5,40,62,78.0,39.52,9.88
